Station Name,Available Docks,Percent Full,Docks in Service,Latitude,Longitude,Timestamp
Cornell Dr & Hayes Dr,26,13,30,41.889906,-87.634266,5/7/2022 23:35
Cottage Grove Ave & 111th Pl,0,100,13,41.910509,-87.682389,5/7/2022 23:35
Cottage Grove Ave & 43rd St,12,48,23,41.892394,-87.676885,5/7/2022 23:35
Cottage Grove Ave & 47th St,1,93,15,41.88137,-87.67493,5/7/2022 23:35
Cottage Grove Ave & 51st St,2,87,15,41.903029,-87.697474,5/7/2022 23:35
Cottage Grove Ave & 63rd St,7,50,14,41.886616,-87.65804,5/7/2022 23:35
Cottage Grove Ave & 67th St,4,60,10,41.856802,-87.633879,5/7/2022 23:35
Cottage Grove Ave & 71st St,0,100,18,41.915983,-87.677335,5/7/2022 23:35
Cottage Grove Ave & 78th St,22,0,22,41.931248,-87.644336,5/7/2022 23:35
Cottage Grove Ave & 83rd St,8,56,18,41.920196,-87.692659,5/7/2022 23:35
Cottage Grove Ave & Oakwood Blvd,8,43,14,41.918216,-87.656936,5/7/2022 23:35
Daley Center Plaza,7,63,19,41.913865,-87.648755,5/7/2022 23:35
Damen Ave & 33rd St,5,75,20,41.919936,-87.64883,5/7/2022 23:35
Damen Ave & 51st St,11,0,11,41.939743,-87.658865,5/7/2022 23:35
Damen Ave & 59th St,14,33,21,41.94815,-87.66394,5/7/2022 23:35
Damen Ave & 74th St,11,27,15,41.9406,-87.6785,5/7/2022 23:35
Damen Ave & Charleston St,15,21,19,41.943739,-87.66402,5/7/2022 23:35
Damen Ave & Chicago Ave,16,16,19,41.943785,-87.671251,5/7/2022 23:35
Damen Ave & Clybourn Ave,20,9,22,41.96167,-87.65464,5/7/2022 23:35
Damen Ave & Cortland St,9,55,20,41.949473,-87.646453,5/7/2022 23:35
Damen Ave & Coulter St,10,38,16,41.883165,-87.6511,5/7/2022 23:35
Damen Ave & Cullerton St,5,71,17,41.961588,-87.666036,5/7/2022 23:35
Damen Ave & Division St,2,87,15,41.907626,-87.638566,5/7/2022 23:35
Damen Ave & Foster Ave,12,37,19,41.842052,-87.617,5/7/2022 23:35
Damen Ave & Grand Ave,11,21,14,41.961406,-87.676169,5/7/2022 23:35
Damen Ave & Leland Ave,8,58,19,41.9664,-87.688704,5/7/2022 23:35
Damen Ave & Madison St,18,28,25,41.954245,-87.654406,5/7/2022 23:35
Damen Ave & Melrose Ave,3,84,19,41.871737,-87.65103,5/7/2022 23:35
Damen Ave & Pershing Rd,14,7,15,41.967094,-87.679028,5/7/2022 23:35
Damen Ave & Pierce Ave,9,31,13,41.963004,-87.684781,5/7/2022 23:35
Damen Ave & Sunnyside Ave,10,47,19,41.95469,-87.67393,5/7/2022 23:35
Damen Ave & Thomas St (Augusta Blvd),13,32,19,41.961004,-87.649603,5/7/2022 23:35
Damen Ave & Wabansia Ave,7,36,11,41.956057,-87.668835,5/7/2022 23:35
Damen Ave & Walnut (Lake) St,12,33,18,41.795212,-87.580715,5/7/2022 23:35
Damen Ave & Wellington Ave,9,50,18,41.795264,-87.596471,5/7/2022 23:35
Dauphin Ave & 103rd St,17,37,27,41.963982,-87.638181,5/7/2022 23:35
Dauphin Ave & 87th St,5,71,17,41.936083,-87.669807,5/7/2022 23:35
Dayton St & North Ave,7,46,13,41.967968,-87.650001,5/7/2022 23:35
Dearborn Pkwy & Delaware Pl,10,33,15,41.809835,-87.599383,5/7/2022 23:35
Dearborn St & Adams St,4,69,13,41.968812,-87.657659,5/7/2022 23:35
Dearborn St & Erie St,2,87,15,41.954383,-87.648043,5/7/2022 23:35
Dearborn St & Monroe St,14,62,37,41.867888,-87.623041,5/7/2022 23:35
Dearborn St & Van Buren St,7,53,15,41.952833,-87.649993,5/7/2022 23:35
Delano Ct & Roosevelt Rd,12,20,15,41.948797,-87.675278,5/7/2022 23:35
Desplaines St & Jackson Blvd,2,93,27,41.929465,-87.684158,5/7/2022 23:35
Desplaines St & Kinzie St,11,27,15,41.918491,-87.697423,5/7/2022 23:35
Desplaines St & Randolph St,11,68,34,41.929567,-87.707857,5/7/2022 23:35
Dodge Ave & Church St,14,7,15,41.871514,-87.669886,5/7/2022 23:35
Dodge Ave & Main St,7,36,11,41.827059,-87.64572,5/7/2022 23:35
Dodge Ave & Mulford St,1,91,11,41.836208,-87.613533,5/7/2022 23:35
